year,category,laureate,gender,country
1903,Physics,Marie Curie,Female,Poland
1911,Chemistry,Marie Curie,Female,Poland
1921,Physics,Albert Einstein,Male,Germany
1964,Peace,Martin Luther King Jr.,Male,United States
1964,Chemistry,Dorothy Crowfoot Hodgkin,Female,United Kingdom
2014,Peace,Malala Yousafzai,Female,Pakistan
2018,Physics,Donna Strickland,Female,Canada
2020,Chemistry,Emmanuelle Charpentier,Female,France
2020,Chemistry,Jennifer A. Doudna,Female,United States
2022,Physiology or Medicine,Svante Pääbo,Male,Sweden
2023,Peace,Narges Mohammadi,Female,Iran
2024,Literature,Han Kang,Female,South Korea
